,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
113,SUBS114-0163,0,-12.31764945446557,-0.0851534778886741,0.0,1.269125491901014,4.205449919388047,0.0,-1.554214560232039,-8.48244208129654,-61.0
114,SUBS114-0366,0,-12.12945862879024,-0.0685765076490361,0.0,0.870359074404496,2.501787302033062,0.0,0.0,-8.825888760001362,-59.0
115,SUBS114-0055,0,-12.50997436946818,-0.071763620051438,0.0,0.8360693965493738,3.856307374593598,-0.0303313665581711,-0.0353946826610311,-7.955087267595445,-58.0
116,SUBS114-0574,0,-13.78796564634759,-1.283718016022966,0.0,1.496456330602996,6.113278670099407,0.0,-2.588493487871998,-10.05044214954069,-54.0
117,SUBS114-0207,0,-17.66846450951016,-1.142873168789675,0.0,3.105613375576922,9.329328211214852,0.0,-1.773772249715579,-8.150168341223434,-61.0
118,SUBS114-0309,0,-11.2779163149673,-0.810359982358749,0.0,1.094647675307988,4.880933503750293,0.0,-1.769657049186121,-7.882352167453519,-59.0
119,SUBS114-0243,0,-12.96688967148839,-0.9671420793641744,0.0,1.15748949764984,6.991575308636129,0.0,-1.906906497600374,-7.69187344216698,-57.0
120,SUBS114-0755,0,-16.57515285820191,-1.239168754300755,0.0,2.354986660690702,8.886742050855263,0.0,-1.501431020679658,-8.074023921635671,-62.0
121,SUBS114-0684,0,-10.85707948430463,-0.9177735459578866,0.0,0.8903031375141837,4.594361436114377,0.0,-2.385660251162125,-8.675848707795922,-57.0
122,SUBS114-0876,0,-13.47450895224938,-0.92750531062077,0.0,3.160358053725577,4.721105922669449,0.0,-1.781705167679859,-8.302255454154874,-59.0
123,SUBS114-0046,0,-11.73769026277841,-0.3049854775682979,0.0,1.703960932157952,3.700036467803875,0.0,-0.9930512731171582,-7.631729613502102,-54.0
124,SUBS114-0776,0,-14.99128812589406,-1.23631041488701,0.0,2.237102601285187,7.830972307162483,0.0,-2.21913604255769,-8.378659674890969,-62.0
125,SUBS114-0124,0,-12.34184608125615,-0.8360488944094413,0.0,1.380906079010129,5.836338858414365,0.0,-2.096427040982783,-8.057077079223745,-58.0
126,SUBS114-0583,0,-13.18173729668815,-1.283738711241505,0.0,1.178287804366664,6.70972817956308,0.0,-2.434030773022783,-9.011490797022816,-57.0
127,SUBS114-0718,0,-11.51437191183286,-1.254360183751522,0.0,2.301151156223841,4.821243367003535,0.0,-2.014678727805705,-7.661016300162828,-52.0
128,SUBS114-0073,0,-9.175139698143903,-0.957100656154912,0.0,0.6593258197669457,3.251190334531293,0.0,-1.646968697220287,-7.868692897221081,-53.0
129,SUBS114-0425,0,-10.98321576267008,-0.6805961939373741,0.0,1.145559482850422,3.139600358266943,0.0,-1.480357420406737,-8.859009535896803,-54.0
130,SUBS114-0832,0,-12.72036503655873,-0.0952346370515385,0.0,1.228668972122978,2.778211693818321,0.0,-0.1312393782213448,-8.939958385890804,-54.0
131,SUBS114-0253,0,-15.4002863495989,-0.9920449558271286,0.0,2.627740959906987,6.146911530347006,0.0,-2.437336295228212,-10.05501511040075,-63.0
132,SUBS114-0787,0,-13.2591256492502,-0.9403814381664858,0.0,2.441033763053202,6.181946565085672,0.0,-2.821932076587893,-8.398458835865767,-61.0
133,SUBS114-0738,0,-10.71967944345852,-1.439526330850501,0.0,0.9956266721541396,4.318019094467126,0.0,-3.725567502212416,-10.57112750990018,-52.0
134,SUBS114-0955,0,-10.96160633593681,-0.1103124845247146,0.0,1.053758732071947,1.826832120358267,0.0,-0.1274953193078971,-8.318823287339,-56.0
135,SUBS114-0219,0,-17.29272288501998,-1.208612758707545,0.0,2.265370466259264,9.18582486506084,-0.0495266515864877,-1.661463654486722,-8.761130618480365,-62.0
136,SUBS114-0222,0,-9.001957570837476,-0.7641523144314828,0.0,0.4461557783442913,2.646412709632841,0.0,-1.867891525576499,-8.541432922868353,-52.0
137,SUBS114-0687,0,-15.56924732293774,-0.361191538497369,0.0,4.678357423646594,3.836228344376195,0.0,-0.3021227668211502,-7.717975860233764,-57.0
138,SUBS114-0702,0,-12.76621278160165,-0.9052934533268694,0.0,1.251394519940732,4.161786194727301,0.0,-1.552910717357144,-9.811236237617775,-56.0
139,SUBS114-0527,0,-10.89484854176917,-0.556559481940967,0.0,0.8898520774516329,4.236207646338789,0.0,-1.379982239938556,-7.705330539858096,-58.0
140,SUBS114-0638,0,-12.91439250295007,-0.9249625256683134,0.0,1.632481138970525,6.249391393368296,0.0,-2.702834614752927,-8.660317111032327,-59.0
141,SUBS114-0854,0,-14.00017564324408,-1.994842379086704,0.0,1.944533298477472,8.2145082055903,0.0,-4.069355258180734,-9.905331776443743,-56.0
142,SUBS114-0559,0,-11.28202902318117,-0.3235509539564862,0.0,1.237949403734274,4.007765810723231,0.0,-1.594843687222296,-7.954708449902682,-56.0
143,SUBS114-0288,0,-14.20693262850146,-1.03071801522963,0.0,0.9653491340165602,7.786675262928474,0.0,-1.472959426138499,-7.958585672924983,-58.0
144,SUBS114-0233,0,-11.73931313462708,-1.197120467675214,0.0,1.145088638237848,4.49090444588237,0.0,-1.58845682908027,-8.888897347262173,-60.0
145,SUBS114-0492,0,-14.50402259076727,-0.4694492873557112,0.0,3.044783173710403,5.241582751329133,0.0,-2.302743758288142,-8.98984971137088,-65.0
146,SUBS114-0857,0,-14.48352196518572,-0.5927367352726821,0.0,3.379144345186706,4.190333640846893,0.0,-1.352608450852869,-8.859389165277662,-57.0
147,SUBS114-0978,0,-12.60976099375294,0.200870050203622,0.0,0.9231564129260732,3.724990624101156,0.0,-0.1044879521881995,-7.865231858710104,-55.0
